"name","x","y","z"
"Preou Auscs KW-W c1-2",27066.34375,87.78125,41258.8125
"Preou Auscs KW-W c1-3",27059.90625,83.78125,41262.59375
"Preou Auscs KW-W c1-4",27071.5,78.90625,41293.96875
"Eock Bluae RS-R c5-0",15977.5,-822.375,27335.625
"Preou Auscs KW-W c1-5",27073.46875,82.90625,41293.875
"Plae Briae HD-X b42-0",19803.4375,13.34375,51064.65625
"Eock Bluae VY-P c6-2",15986.59375,-819.90625,27382.875
"Shrogea XP-E c12-2162",471.03125,301.34375,21218.28125
"Preou Auscs KW-W c1-6",27072.28125,75.40625,41292
"Preou Auscs KW-W c1-7",27067.6875,69.40625,41286.34375
"Blaea Aihm KV-S b45-0",22897.8125,98.6875,15280.09375
"Preou Auscs VN-S b4-0",27124.46875,121.375,41284.5625
"Preou Auscs LR-V c2-0",27180.03125,176.3125,41296.03125
"Preou Auscs KW-V c2-3",27230.6875,234,41300.375
"Blaea Aihm UN-I c23-2",22904.59375,97.5625,15295.84375
"Preou Auscs FV-X c1-2",27287.90625,282.15625,41294.65625
"Floadu UF-J b1-0",21740.34375,-139.1875,14315.15625
"Eock Bluae QB-C b14-0",15993.90625,-1036.375,27407.71875
"Preou Auscs EV-X c1-0",27220,257.46875,41260.3125
"Eock Bluae OE-Y b15-0",16223.8125,-1082.375,27450.78125
"Preou Auscs EQ-V b3-0",27139.65625,255.09375,41256.28125
"Teqoa WE-Z b46-9",4784.28125,-320.3125,37068.34375
"Preou Auscs AV-X c1-2",27062.96875,264.78125,41262.5
"Preou Auscs AV-X c1-0",27056.46875,259.09375,41258.34375
"Eock Bluae KY-Z b14-0",16216.15625,-1084.8125,27419.75
"Preou Auscs AV-X c1-1",27058.53125,260.0625,41262.78125
"Eock Bluae AT-K c8-1",16197,-1150.84375,27479.625
"Bleae Thua JB-Z b45-0",-403,757.6875,2476.53125
"NGC 2546 Sector FP-P c6-3",3182.71875,-308.03125,-1110.4375
"Chua Eop SS-X b7-0",-2729.125,-55.03125,57994.8125
"Eock Bluae RU-A c1",16310.5625,-1106.53125,27115.71875
"Eock Bluae PW-Q b20-0",16156.78125,-921.75,27540.59375
"Qieduia WO-X d2-8",-2774.1875,-63.625,-5885.09375
"Scheau Phoe YO-V b8-0",-5345,-99.25,-6000.96875
"Preou Auscs AV-X c1-3",27069.03125,262.84375,41281.375
"Preou Auscs AV-X c1-4",27071.125,271,41260.375
"Preou Auscs BV-X c1-0",27099.25,257.03125,41259.40625
"Preou Auscs JH-T b4-0",27051.71875,196.5,41277.15625
"Preou Auscs CQ-Y d14",26991.28125,147.90625,41292.0625
"Preou Auscs PT-Q b5-0",26916.59375,117.96875,41299.625
"Preou Auscs LC-V c2-0",26958.6875,62.25,41311.28125
"Preou Auscs LC-V c2-1",26962,90.21875,41316.625
"Preou Auscs LC-V c2-2",26959.125,59.40625,41304.5625
"Preou Auscs LC-V c2-3",26953.15625,59.65625,41299.3125
"Prooe Drye LI-W b46-0",-1920.09375,-624.28125,1221.9375
"Preou Auscs LC-V c2-4",26949.15625,56.84375,41304.75
"Preou Auscs LC-V c2-5",26967.34375,70.71875,41297.0625
"Preou Auscs LC-V c2-6",26964.96875,72.75,41296.75
"Preou Auscs LC-V c2-7",26962.90625,76.65625,41298.46875
"Plae Briae DW-E d11-9",19763.1875,1.3125,51114.125
"Phylur YL-C b40-2",-1365.84375,9.3125,2361.625
"Preou Auscs LC-V c2-8",26956.15625,75.25,41296.03125
"Greae Phoea RO-G d11-821",4819.40625,-514.375,16564.65625
"Teqoa ZE-Z b46-3",4841.4375,-313.28125,37059.75
"Preia Phoe QU-G d10-19",-5165.15625,-1195.90625,11407.78125
"Hypuejua HH-M d7-7",-11175.28125,-1099.8125,27801.3125
"Shrogea XU-E c12-1145",537,345.09375,21228.65625
"Croomaa LX-U f2-2472",-972.46875,1658.125,25704.53125
"Preou Auscs LC-V c2-9",26953.8125,80.96875,41295.1875
"Bleae Thua IB-Z b45-0",-419.4375,758.5,2475.78125
"Preou Auscs LC-V c2-10",26949.15625,80.21875,41297.28125
"Thailoi KH-C d47",-3233.78125,-278.375,4082.0625
"Prieluia EO-T c3-39",770.75,120.625,8087.21875
"Chua Eop LM-Z b6-1",-2786.53125,-63.59375,57959.84375
"Lysoorb IS-O b37-0",500.1875,739.78125,7416.59375
"Preou Auscs MC-V c2-0",26978.84375,59,41299.21875
"Preou Auscs MC-V c2-1",27001.375,81.9375,41314.96875
"Prooe Drye DE-L c23-4",-1985.90625,-624.59375,1246.96875
"Shrogea WJ-Q d5-8281",595.1875,389.59375,21240.65625
"Preou Auscs MC-V c2-2",27001.96875,78.0625,41310.65625
"Scheau Phoe OC-Z b6-0",-5370.15625,-94.5,-6043
"Preou Auscs MC-V c2-3",27002.1875,75.28125,41303.78125
"Eock Bluae UN-W b17-0",16057.40625,-881.34375,27478.46875
"Preou Auscs MC-V c2-4",26993.78125,74.34375,41329.4375
"Preou Auscs MC-V c2-5",26988,73.03125,41329.03125
"Preou Auscs MC-V c2-6",26985.90625,58.09375,41313.6875
"Preou Auscs MC-V c2-7",26990.5625,61.21875,41315.96875
"Preou Auscs MC-V c2-8",27005.875,73.875,41331.59375
"Preou Auscs MC-V c2-9",27003.21875,67.5625,41326.5625
"Preou Auscs EL-Y d26",26998.5,60.28125,41327.53125
"Preou Auscs IR-W d1-2",26985.96875,56.5625,41336.90625
"Kyloall EF-R c7-1009",-8919.3125,-156.34375,21035
"Preou Auscs IR-W d1-0",26978.75,62.3125,41338.46875
"Preou Auscs PI-T c3-8",26970.53125,58.375,41352.8125
"Prieluia LF-Q c5-8",810.28125,165.15625,8149.125
"Eock Bluae DE-J c9-0",16250.625,-1141.90625,27532.0625
"Preou Auscs FH-L b8-0",26968.4375,100.0625,41357.40625
"Preou Auscs JM-W d1-30",26972.78125,53.3125,41349.90625
"Tr 24 Sector ZN-W b4-0",1179.25,160.1875,3175.25
"Eock Bluae SL-L b9-0",16031.4375,-978.65625,27299.8125
"Chua Eop EG-B b6-0",-2853.8125,-62.46875,57942.375
"Greae Hype QQ-L b5",4982.53125,-79.875,13017.84375
"Preou Auscs RN-K b8-1",27041.53125,18.53125,41367.6875
"Preou Auscs LM-W d1-0",27056.96875,16.5,41388.75
"Pra Eaewsy QM-M b26-3",-15245.875,-252.125,11029.8125
"Floadu EO-T b6-0",21938.28125,-672.09375,14443
"Blu Thua GE-V b2-2",938.25,18.21875,1563.65625
"Teqoa CN-M c23-33",4899.46875,-318.9375,37057.625
"Eock Bluae PL-T b5-0",15964.6875,-877.96875,27218.375
"Scheau Phoe DV-C b5-1",-5399.28125,-84.125,-6082
"Blaea Aihm NH-B c27-6",22958.625,93.40625,15487.15625
"Preou Auscs LM-W d1-1",27066.75,1.125,41406.875
"Preou Auscs XY-I b9-2",27118.53125,51.375,41378.5625
"Preou Auscs LM-W d1-2",27122.875,49.59375,41371.40625
"Preou Auscs LM-W d1-6",27062.5,40.3125,41404.28125
"Preou Auscs LM-W d1-3",27105.40625,39.71875,41379.3125
"Preou Auscs LM-W d1-4",27081.96875,41.46875,41337.40625
"Preou Auscs LM-W d1-5",27097,38.78125,41356.84375
"Preou Auscs LM-W d1-7",27119.375,19.28125,41370.03125
"Preou Auscs TD-T c3-0",27041.65625,36.15625,41364.5
"Preou Auscs KM-W d1-10",27047.65625,42.1875,41343.5
"Preou Auscs TI-T c3-0",27100.5,59.90625,41339.5
"Preou Auscs TI-T c3-1",27127.875,68.125,41363.46875
"Preou Auscs TI-T c3-2",27129.6875,70.4375,41367.9375
"Preou Auscs TI-T c3-3",27103.3125,91.8125,41337.5
"Preou Auscs TI-T c3-4",27103.65625,90.875,41337.46875
"Preou Auscs TI-T c3-5",27098.75,83.0625,41336.34375
"Preou Auscs TI-T c3-6",27095.5625,76.5,41372.0625
"Preou Auscs TI-T c3-7",27097.09375,77.96875,41368.15625
"Preou Auscs TI-T c3-8",27125.28125,92.9375,41341.75
"Preou Auscs RI-T c3-2",27051.75,72.9375,41360.96875
"Preou Auscs QI-T c3-2",26978.5,66.375,41353.65625
"Phoi Screia XB-S c18-22",1587.875,1567.78125,24087.6875
"Preou Auscs KC-M b7-0",26936.25,-1.84375,41339.5
"Preou Auscs KC-M b7-1",26936.0625,-3.375,41342.15625
"Preou Auscs KC-M b7-2",26938.78125,-2.53125,41346.875
"Preou Auscs KC-M b7-3",26935.8125,-4.625,41348.9375
"Preou Auscs KC-M b7-4",26945.71875,12.09375,41349.625
"Preou Auscs IR-W d1-11",27046.90625,67.03125,41355.0625
"Preou Auscs EL-Y d2",27013.40625,59.3125,41314.96875
"Preou Auscs EV-P b5-1",27018.625,26.4375,41297.34375
"Shrogea BV-O d6-2490",851.6875,533.28125,21289.90625
"NGC 2546 Sector KJ-F b13-0",3238.375,-304.09375,-1119.1875
"Hyiechai XS-H b24-0",14805.59375,151.40625,48110.6875
"Bleae Thua VG-U c16-3",-1301.65625,-2.21875,2228.6875
"Dryoea Prao FK-C d14-10280",2620.4375,-83.375,21932.4375
"Phraa Pra IS-T e3-474",-10.8125,-1834.28125,26466.84375
"Aucofs UU-N b26-3",-3889.9375,-119.9375,2066.875
"Preou Auscs XX-U b2-1",27075.90625,-0.53125,41250.53125
"Preou Auscs VU-W b15-2",27082.5625,72.03125,41515.9375
"Prue Prao TO-U a2-0",27126.03125,-32.6875,41197.25
"Dryignae ML-G b58-4",27175.25,-56.8125,41138.03125
"Dryignae EO-L b55-1",27221.5,-82.125,41078.21875
"Preia Phoe TH-I c23-5",-5130.59375,-1190.40625,11462.9375
"Puelaa XP-P c5-32",5132.90625,22.5,13292.25
"Prooe Drye JQ-H c25-5",-2092.75,-617.5,1325.6875
"Phoi Screia QE-H d10-980",1545.4375,1559.625,24141
"Byae Aihm MD-Y b3-0",22709.78125,515.21875,15661
"Swoiwns IJ-Y c14-0",-1261.8125,-1183.09375,858.4375
"Chua Eop XJ-C c2-0",-2904.09375,-61.125,57897.9375
"Lysoorb XR-X c16-5",490.28125,725.75,7344.71875
"Dryoea Prao CE-E d13-3630",2668.625,-82.84375,21887.46875
"Eafots PE-S c4-0",-5213.25,187.65625,-5984.5625
"Kyloall EF-R c7-2312",-8913.03125,-157.75,21035.4375
"Aucoths BL-I c12-7",-3932.25,-151.90625,2015.25
"Preia Phio RW-L c24-84",3518.46875,-92.4375,11507
"Prooe Drye QE-Y c17-14",-2602.46875,-104.53125,1003.1875
"Prieluia DZ-H c10-17",949.65625,258.78125,8339.875
"NGC 4609 Sector EK-D b30-0",3596.875,300,2236.625
"Greae Phoea WE-Q e5-55",4815.71875,-511.09375,16567.75
"Eafots PE-S c4-1",-5219.15625,181.96875,-5985
"Dryoea Prao CE-E d13-4269",2716.1875,-82.3125,21841.46875
"Eoch Flyuae ZQ-N b23-22",-8278.9375,-685.3125,17371.90625
"Praea Euq IP-D c26-9",371.1875,198.03125,1357.40625
"Phoi Screia PE-H d10-590",1509.65625,1558.75,24200.28125
"Hyiechai DV-P d5-20",14801.28125,164.71875,48082.71875
"Thailoi KH-C d46",-3205.5625,-323.0625,4106.65625
"Bleae Thua HG-S b31-12",-1273.84375,0.9375,2186.09375
"Greae Phoea OT-G d11-196",4812.875,-504.40625,16570.625
"Preia Phoe XN-G c24-18",-5110.28125,-1189.03125,11523.8125
"NGC 2546 Sector ID-H b12-0",3289.375,-288.71875,-1138.28125
"Qiedeau CS-J d9-2",149.84375,-734.28125,-5354.03125
"Byaa Theia VF-I b25-0",3120.8125,380.5,3318.40625
"Prooe Drye LP-U b36-0",-2600.15625,-104.96875,995.6875
"Synuefoi NB-M b11-2",-12558.3125,-539.84375,-808.84375
"Kyloall PP-V d3-4042",-8912.375,-157.78125,21037.4375
"Oochonz QP-D d13-5",3343.53125,-298.28125,-1148
"Prooe Drye HJ-W b35-3",-2596.03125,-102.5,994.25
"Prooe Drye EU-J b53-0",-2138.09375,-627.59375,1363.75
"Byaa Theia WZ-E c12-0",3136.4375,376.4375,3299.625
"Stuemeae FG-Y d11521",44.5625,52.6875,25924.6875
"Phoi Screia TK-F d11-480",1475.53125,1545.9375,24259.625
"Preia Phoe JK-G b52-0",-5079.875,-1179.375,11580.59375
"Synuefoi XK-W d2-45",-12613.03125,-578.46875,-792.71875
"Bleae Thua LH-X b46-0",-441.25,760.75,2496.125
"Prooe Hype DK-V b8-3",11374.28125,-119.34375,8086.1875
"Gludgoea QU-G d10-125",-3898.21875,106.15625,-3970.875
"Praea Euq FS-B d13-15",378.25,199.21875,1357.625
"Smojai GZ-D b26-0",193.96875,133,3347.84375
"Pra Eaewsy MM-E c14-15",-15252.09375,-258.65625,11067.40625
"Smojou DE-E c26-6",5496.1875,319.4375,3916.25
"Wredguia RU-O b20-0",-352.46875,137.8125,-623.5625
"Oochonz RP-D d13-5",3395.03125,-296.84375,-1168.71875
"Puelaa GC-M c7-21",5143.5625,22.0625,13341.0625
"Phoi Screia WQ-D d12-763",1445.03125,1535.9375,24321.125
"Prooe Drye DF-I b54-0",-2197.15625,-622.34375,1382.3125
"Smojai BB-O d6-0",178.71875,136,3342.75
"Synookoi YN-T d3-7",3661.1875,246.09375,12070.1875
"Qieduia WO-X d2-18",-2772.4375,-62.96875,-5886.625
"Byaa Theia XB-F b27-0",3077.6875,419.59375,3357.3125
"Phoi Screia AX-B d13-624",1411.21875,1524.84375,24381.28125
"Swoilz QZ-A b6-6",142.3125,-70.96875,337.4375
"Smojou DE-E c26-5",5497.4375,325.53125,3914.5
"Synuefoi ZW-Q c6-12",-12660.125,-617.78125,-776.9375
"Dryoea Prao CC-K c25-1263",2767.84375,-88.46875,21800.625
"Phoi Screia AX-B d13-1048",1376.3125,1511.0625,24438.15625
"Eafots VW-N b7-0",-5240.46875,176.46875,-6020.65625
"Oochonz WQ-L b54-0",3500.8125,-261.75,-1182.71875
"Pra Eaewsy IJ-O d7-78",-15255.15625,-261.125,11106.1875
"Preia Phoe JL-B c27-6",-5062.375,-1159.1875,11640.125
"Kyloall PP-V d3-1521",-8915.84375,-157.3125,21038.46875
"Sifoa PE-G c24-0",14630.3125,-6.71875,1284.625
"Prooe Drye EL-G b55-0",-2253.78125,-608.28125,1405.75
"Thailoi KH-C d45",-3215.4375,-310.25,4074.65625
"Flyoo Bluae KO-X d2-84",14242.59375,-67.90625,47842.625
"Prooe Drye HJ-W b35-4",-2587.65625,-101.6875,988.75
"Oochonz MV-F c27-2",3557.78125,-258.4375,-1183.3125
"Puelaa VQ-U b16-15",5160.84375,26.9375,13387.9375
"Praea Euq SE-H b52-2",392.5625,191.46875,1350.65625
"Smojou GS-J b51-4",5502.9375,273.25,3890.1875
"Phoi Screia DD-A d14-476",1331.625,1507.21875,24491.21875
"Sifoa KV-I b50-0",14584,-15.75,1296.8125
"Eafots QQ-P b6-0",-5245.34375,185.96875,-6026.15625
"Oochonz XK-N b53-0",3607.59375,-249.25,-1197.03125
"Greae Phoea OT-G d11-696",4807.9375,-500.9375,16573.84375
"Kyloall UU-X e1-4206",-8920.125,-158.5625,21037.65625
"Blau Aed SP-O d6-20",3829.03125,447.8125,12314.21875
"Hypiae Aug RY-A c90",1287.28125,1493.8125,24542.125
"Bleae Thua WE-R d4-114",-1149.84375,-0.90625,1971.25
"Bauloo KI-B d13-129",19682.4375,-15.09375,29508.34375
"Phraa Pra IO-P d6-785",-15.40625,-1768.625,26443.71875
"Eafots SB-O b7-0",-5260.09375,196.03125,-6022.9375
"Oochonz YZ-O b52-1",3656.84375,-270.84375,-1205.71875
"Thailoi KH-C d44",-3223,-314.28125,4073.28125
"Scheau Phoe UO-X d2-16",-5492.21875,-92.65625,-5914.375
"Prooe Drye KX-C b57-0",-2300.15625,-607.3125,1435.875
"Synuefoi YF-W d2-18",-12705,-664.71875,-767.1875
"Puelaa PO-I c9-43",5183.84375,27.9375,13432.4375
"Sifi KA-H b52-0",-1845.5625,171.3125,1339.6875
"Greae Phoea OT-G d11-123",4802.34375,-500.59375,16577.59375
"Eafots OV-P b6-0",-5263.40625,208.34375,-6028.6875
"Praea Euq JP-D c26-1",407.71875,189.34375,1351.84375
"Hypiae Aug WJ-A d504",1246.46875,1488.875,24598.53125
"Ploi Aihm PE-E d13-1",7545.6875,1178.6875,10315.53125
"Byaa Theia DX-Z c14-2",3031.1875,420.78125,3432.21875
"Scheau Phoe UO-X d2-5",-5493.9375,-96.1875,-5917.84375
"M7 Sector ZU-O c6-25",207.1875,-74.59375,1051.25
"Plae Briae NE-G c24-3",19686.65625,-22.40625,51213.84375
"Hypuae Audst HS-V c2-117",1211.59375,1487.25,24658.625
"Swoilz TK-M a89-2",414.65625,-37.9375,1172.65625
"Oochonz ZT-Q b51-0",3759.53125,-282.6875,-1244
"Puelaa RV-L b21-5",5199.03125,28.4375,13479.46875
"Praea Euq JP-D c26-0",412.5,196.65625,1354.1875
"Smojue WG-F c11-1",-141.4375,61.90625,3255.8125
"Blau Aed YB-C d13-41",3946.71875,365.65625,12931.125
"Wregoe DD-P b49-0",359.34375,464.46875,5.90625
"Blaa Dryou JD-Y c2-1",4062.03125,-583.34375,4201.40625
"Byaa Theia DW-M d7-11",3064.5,402.34375,3460.84375
"Fine Ring Sector OM-V a2-4",505.46875,-29.65625,793.78125
"Smojoo HK-Y c14-11",-2795.375,108.875,3423.3125
"Dryoea Prao AW-L c24-1305",2818.90625,-85.15625,21758.71875
"Plae Briae UQ-C c26-1",19639.6875,-13.125,51261.375
"Plielao RB-U a16-0",12690.6875,-38.375,8068.40625
"Praea Euq GA-P b19-7",474.34375,-23.78125,636.34375
"NGC 2477 Sector TJ-X b2-0",3809.65625,-301.75,-1230.21875
"Sphauloea SL-J d10-36",19480.90625,-60.71875,29333.03125
"Swoilz YS-P a46-3",496.3125,-31.0625,713.15625
"Hypuae Audst TW-W d1-1600",1177.1875,1472.6875,24717.71875
"Eafots RB-X d1-0",-5262.25,221.03125,-6024.71875
"Prie Chraea WX-E b39-0",-27821.3125,78,49697
"Cyoidai PL-Q c20-0",491,-615.25,-6551.875
"Plae Briae ZZ-Z b54-1",19611.125,-19.125,51320.90625
"Flyooe Eohn DP-Z c0",477.25,-1023.34375,-3548.5625
"Bleae Thua FR-X b46-0",-480.625,798.59375,2505.75
"Qieduia OD-N b13-6",-2775.8125,-56.09375,-5892.21875
"Lysoorb PF-B c15-3",488.5,728.21875,7272.78125
"Byooe Free II-B d13-53",13134.875,38.0625,47470.8125
"Outotz PE-P c19-2",393.53125,30.3125,-1488.96875
"Hypuae Audst NE-S c4-68",1133.90625,1465.4375,24771.6875
"Smojue XG-F c11-1",-77,68.875,3287.1875
"Oochosy ID-J c25-2",3859.625,-302.34375,-1255.40625
"Pro Eur RT-T b44-6",4010,18.3125,1178.71875
"Pueloi PV-J b10-3",3875.65625,322.625,13247.96875
"Plae Briae AG-Y b55-1",19554.25,-17.5625,51354.8125
"Kyloall EF-R c7-1053",-8920,-159.8125,21035.40625
"Byaa Theia EO-S b33-0",3136.25,397.46875,3498.5625
"Plaa Eurk IL-P d5-10",-1748.78125,35.5,-521.78125
"Flyooe Eohn FK-Z c0",475.09375,-1029.40625,-3548.21875
"Smojai TX-G b24-0",-43.53125,59,3298.03125
"Hypuae Audst WC-V d2-510",1092.0625,1462.46875,24827.3125
"Plae Briae KY-S b58-0",19513.875,-16.09375,51408.5
"Eafots LA-Q b6-0",-5273.53125,227.78125,-6039.125
"Sphauloea XL-R b38-17",19320,-50.1875,29207.9375
"Lysoorb BV-C b30-0",477.90625,741.78125,7271.625
"Oochosy OA-U b49-0",3909.15625,-293.09375,-1282.03125
"Pueloi BG-X d1-14",3868.4375,326.90625,13251.34375
"Prue Byoe DB-R a4-0",19469.875,-27.0625,51456.5
"Plaa Eurk RB-D b26-2",-1831,34.9375,-499.59375
"Bleae Thua GC-W b47-0",-502.125,820.53125,2520.375
"Hypuae Audst ZI-T d3-2063",1053.5,1447.125,24883.625
"Pro Eur PQ-L c21-0",3906.34375,33.875,1152
"Oupairph NH-D d12-73",12712.3125,134.90625,47349.46875
"Prue Byoe TF-I a9-0",19425.875,-33.15625,51507.75
"Scheau Phoe QY-U c5-0",-5482.8125,-109.59375,-5922
"Eafots HU-R b5-0",-5283.90625,233,-6045.84375
"Wregoe HY-C c15-0",860.5,1081.125,-422.40625
"Greae Phoea OT-G d11-788",4801.0625,-497.96875,16582.875
"Oochosy RA-U b49-0",3959.8125,-301.3125,-1279.03125
"Kyloall EF-R c7-513",-8922.34375,-158.71875,21034.625
"Hypuae Audst DP-R d4-1726",1021.5625,1443.03125,24944.46875
"Synuefuae JT-N b53-2",5453.71875,-216.5,90.0625
"Oupairph ZE-H d10-72",12546.5625,255.6875,47241.1875
"Prue Byoe JK-Z a13-0",19386.15625,-29.375,51561.75
"Eafots FZ-R b5-0",-5282.0625,238.65625,-6061.75
"Phraa Pra RS-D c14-57",-8.78125,-1701.6875,26424.625
"Plaa Eurk LG-D b26-2",-1916,35.09375,-498.75
"Prie Chraea DF-B b41-0",-27881.71875,73.21875,49745.5625
"Oochosy PU-V b48-0",4008.65625,-290.3125,-1294.96875
"Prue Byoe BK-Q a18-0",19348.78125,-42.90625,51614.125
"Prooe Drye SO-A c29-2",-2355.96875,-606.53125,1469.78125
"Hypuae Audst DP-R d4-1058",984.40625,1429.65625,25001.96875
"Plaa Aescs JX-A d14-22",-1374.625,559.09375,7889.65625
"Puelaa MM-G a38-1",5181.65625,23.96875,13433.21875
"Prie Chraea KC-W b43-0",-27941.125,76.3125,49795.0625
"Froarsts JN-B d13-1737",-7137.21875,68.90625,15473.15625
"Shrogea OR-V d2-7510",903,389.4375,21006.875
"Prue Byoe QO-H a23-1",19301.8125,-41.1875,51661.34375
"Bleae Thua YX-L b7-8",-981.5,-17.3125,1666.96875
"Eafots ZQ-X c1-0",-5296.875,234.25,-6069.75
"Oochosy FJ-F d12-12",4064.1875,-285.625,-1296.40625
"Ploi Aihm FJ-I c26-0",7580.375,1180.84375,10331.8125
"Prie Chraea TB-K c22-6",-28010.90625,81.21875,49826.0625
"Prue Byoe HT-Y a27-0",19266.5625,-38.90625,51714.71875
"Shrogea EE-R c5-99",896.15625,335.625,20948.75
"Hypuae Audst GV-P d5-105",946.34375,1426.9375,25060.125
"Scheau Phoe QY-U c5-1",-5485.5625,-114.90625,-5920.40625
"Oupairph LI-X b29-2",12090.03125,169.4375,46952.625
"Phraa Pra CR-V e2-3395",-11.1875,-1635.1875,26404.375
"Prue Byoe YT-R c7-4",19219.40625,-38.875,51763.5625
"Prie Chraea PU-Q b46-0",-28080.59375,80.53125,49859.75
"Wregoe MP-T b47-0",376.53125,559.65625,-40.78125
"Swoilz FF-Q a32-2",645.78125,-32.40625,559.8125
"Wregoe LI-Q d6-3",871.15625,1160.3125,-426.59375
"Oochosy GR-M c23-2",4117.4375,-284.5625,-1315.34375
"Iwhaind FA-A e5016",-3097,-1145.625,32320.375
"Ploi Aihm JP-G c27-0",7603.90625,1191,10370
"Blaa Dryou TZ-X d1-16",3860.125,-633.8125,4293.46875
"Smootuia ET-Q b18-0",19178.46875,-24.78125,51815.84375
"Dryooe Blou ZL-J d10-154",18791.65625,-55.59375,29275.65625
"Teqoa FF-Z b46-6",4957.71875,-315.75,37055.9375
"Kyloall EF-R c7-435",-8922.90625,-160.09375,21033
"Phraa Pra HB-G c13-152",-1.6875,-1569.25,26383
"Plaa Eurk DL-P d5-29",-2169,12.0625,-507.78125
"Wregoe OF-S b48-1",417.28125,597.4375,-22.75
"Slenguia EK-C d14-2",7622.90625,1189.3125,10391.90625
"Eol Prou AX-B d13-849",-10076.59375,-1002.9375,20613.5
"Oochosy LX-K c24-1",4164.84375,-289.9375,-1297.34375
"Iwhaind CA-A f4659",-3087.75,-1150.875,32314.3125
"Eol Prou BT-I a68-2",-9830.09375,-913.96875,20147.5
"Puelaa ZA-O b6-17",5082.78125,23.8125,13157.34375
"Eol Prou HR-W f1-2011",-9888.03125,-907.46875,20203.25
"Dryooe Prou CL-Y e50",-10183.40625,-1011.09375,20907.78125
"Eol Prou XR-Q c19-252",-9944.03125,-905.625,20261.90625
"Swoilz EF-Q a32-3",636.21875,-31.125,559.3125
"IC 1396 Sector WM-Q b20-2",-2252,18.3125,-500.96875
"Phraa Pra AW-V e2-847",-4.9375,-1502.96875,26360.8125
"Preou Auscs BB-E b12-2",27051.28125,86.375,41443.0625
"Hypiae Eurl XP-E c25-0",2059.40625,16.96875,-15342.25
"Wregoe EU-K c23-0",442.9375,610,-28.25
"Smojou ZQ-D d12-24",5501.84375,268.46875,3880.59375
"Shrogea AI-U c3-3569",899.46875,282.9375,20888.90625
"Blaa Dryou JD-Y c2-3",4067.15625,-581.71875,4201.8125
"Synuefuae XU-F c27-13",5513.0625,-234.65625,130.8125
"Iwhaind CA-A f592",-3078.3125,-1153.59375,32302.25
"Teqoa IF-Z b46-4",5015.34375,-321.125,37065.25
"Kyloall HL-P c8-1369",-8958.65625,-161.375,21064.375
"Prie Chraea YN-G c24-2",-28137.96875,71.1875,49912.75
"Preou Auscs OD-J b9-0",26994.75,70.03125,41387.59375
"Hypoae Ain RL-K b22-2",-5041.21875,59.0625,-5702.53125
"Prue Byoe JY-U a43-0",19145.59375,-27.40625,51875
"Blaa Dryou JD-Y c2-0",4068.21875,-577.125,4204.21875
"Scheau Phoe TJ-T c6-1",-5460.625,-101.75,-5902.0625
"Iwhaind FA-A e1742",-3055.75,-1157.4375,32311.875
"Praea Euq AY-L c7-24",740.28125,-17.0625,561.75
